Mundiales,Clasificatorias,Paises
2006,NO CLASIFICO,DINAMARCA
2014,NO CLASIFICO,DINAMARCA
1982,NO CLASIFICO,MEXICO
1990,NO CLASIFICO,MEXICO
1982,OCTAVOS,BELGICA
1986,OCTAVOS,BELGICA
1990,OCTAVOS,BELGICA
1994,OCTAVOS,BELGICA
2002,OCTAVOS,BELGICA
2018,OCTAVOS,BELGICA
1982,OCTAVOS,BRASIL
1986,OCTAVOS,BRASIL
1990,OCTAVOS,BRASIL
1994,OCTAVOS,BRASIL
1998,OCTAVOS,BRASIL
2002,OCTAVOS,BRASIL
2006,OCTAVOS,BRASIL
2010,OCTAVOS,BRASIL
2014,OCTAVOS,BRASIL
2018,OCTAVOS,BRASIL
1982,OCTAVOS,FRANCIA
1986,OCTAVOS,FRANCIA
1998,OCTAVOS,FRANCIA
2006,OCTAVOS,FRANCIA
2014,OCTAVOS,FRANCIA
2018,OCTAVOS,FRANCIA
1982,OCTAVOS,INGLATERRA
1986,OCTAVOS,INGLATERRA
1990,OCTAVOS,INGLATERRA
1998,OCTAVOS,INGLATERRA
2002,OCTAVOS,INGLATERRA
2006,OCTAVOS,INGLATERRA
2010,OCTAVOS,INGLATERRA
2018,OCTAVOS,INGLATERRA
1982,OCTAVOS,ITALIA
1986,OCTAVOS,ITALIA
1990,OCTAVOS,ITALIA
1994,OCTAVOS,ITALIA
1998,OCTAVOS,ITALIA
2002,OCTAVOS,ITALIA
2006,OCTAVOS,ITALIA
1982,OCTAVOS,ESPANA
1986,OCTAVOS,ESPANA
1990,OCTAVOS,ESPANA
1994,OCTAVOS,ESPANA
2002,OCTAVOS,ESPANA
2006,OCTAVOS,ESPANA
2010,OCTAVOS,ESPANA
2018,OCTAVOS,ESPANA
1990,OCTAVOS,PAISES BAJOS
1994,OCTAVOS,PAISES BAJOS
1998,OCTAVOS,PAISES BAJOS
2006,OCTAVOS,PAISES BAJOS
2010,OCTAVOS,PAISES BAJOS
2014,OCTAVOS,PAISES BAJOS
2006,OCTAVOS,PORTUGAL
2010,OCTAVOS,PORTUGAL
1986,OCTAVOS,DINAMARCA
1998,OCTAVOS,DINAMARCA
2002,OCTAVOS,DINAMARCA
2018,OCTAVOS,DINAMARCA
1986,OCTAVOS,MEXICO
1994,OCTAVOS,MEXICO
1998,OCTAVOS,MEXICO
2002,OCTAVOS,MEXICO
2006,OCTAVOS,MEXICO
2010,OCTAVOS,MEXICO
2014,OCTAVOS,MEXICO
2018,OCTAVOS,MEXICO
1982,OCTAVOS,ARGENTINA
1986,OCTAVOS,ARGENTINA
1990,OCTAVOS,ARGENTINA
1994,OCTAVOS,ARGENTINA
1998,OCTAVOS,ARGENTINA
2006,OCTAVOS,ARGENTINA
2010,OCTAVOS,ARGENTINA
2014,OCTAVOS,ARGENTINA
2018,OCTAVOS,ARGENTINA
1986,SEMIFINALES,BELGICA
2018,SEMIFINALES,BELGICA
1986,SEMIFINALES,ARGENTINA
1990,SEMIFINALES,ARGENTINA
2014,SEMIFINALES,ARGENTINA
1982,SEMIFINALES,FRANCIA
1986,SEMIFINALES,FRANCIA
1998,SEMIFINALES,FRANCIA
2006,SEMIFINALES,FRANCIA
2018,SEMIFINALES,FRANCIA
1990,SEMIFINALES,INGLATERRA
2018,SEMIFINALES,INGLATERRA
1982,SEMIFINALES,ITALIA
1990,SEMIFINALES,ITALIA
1994,SEMIFINALES,ITALIA
2006,SEMIFINALES,ITALIA
2010,SEMIFINALES,ESPANA
1998,SEMIFINALES,PAISES BAJOS
2010,SEMIFINALES,PAISES BAJOS
2014,SEMIFINALES,PAISES BAJOS
2006,SEMIFINALES,PORTUGAL
1994,SEMIFINALES,BRASIL
1998,SEMIFINALES,BRASIL
2002,SEMIFINALES,BRASIL
2014,SEMIFINALES,BRASIL
